Afghanistan,Asia,1
Alaska,North America,1
Alberta,North America,2
Argentina,South America,1
Brazil,South America,2
Central America,North America,3
China,Asia,2
Congo,Africa,1
East Africa,Africa,2
Eastern Australia,Australia,1
Eastern United States,North America,4
Egypt,Africa,3
Great Britain,Europe,1
Greenland,North America,5
Iceland,Europe,2
India,Asia,3
Indonesia,Australia,3
Irkutsk,Asia,4
Japan,Asia,5
Kamchatka,Asia,6
Madagascar,Africa,4
Middle East,Asia,7
Mongolia,Asia,8
New Guinea,Australia,2
North Africa,Africa,5
Northern Europe,Europe,3
Northwest Territory,North America,6
Ontario,North America,7
Peru,South America,4
Quebec,North America,8
Scandinavia,Europe,4
Siam,Asia,9
Siberia,Asia,10
South Africa,Africa,6
Southern Europe,Europe,5
Ukraine,Europe,6
Ural,Asia,11
Venezuela,South America,3
Western Australia,Australia,4
Western Europe,Europe,7
Western United States,North America,9
Yakutsk,Asia,12